price,number_of_rooms,address,canton,property_type,floor,year_category
"CHF 1,040,000.–",4.5 rooms,1845 Noville,vaud,Apartment,eg,2016-2022
"CHF 1,250,000.–",3.5 rooms,1009 Pully,vaud,Apartment,eg,2016-2022
"CHF 1,890,000.–",4.5 rooms,1093 La Conversion,vaud,Apartment,eg,2016-2022
"CHF 670,000.–",4.5 rooms,1854 Leysin,vaud,Apartment,eg,2016-2022
"CHF 520,000.–",3.5 rooms,1562 Corcelles-près-Payerne,vaud,Apartment,eg,2016-2022
"CHF 1,490,000.–",4.5 rooms,1010 Lausanne,vaud,Apartment,eg,2016-2022
"CHF 875,000.–",2.5 rooms,1092 Belmont-sur-Lausanne,vaud,Apartment,eg,2016-2022
"CHF 790,000.–",4.5 rooms,1264 St Cergue,vaud,Apartment,eg,2016-2022
"CHF 875,000.–",3.5 rooms,"Route de la Frasse 29, 1660 Château-d'Oex",vaud,Apartment,eg,2016-2022
"CHF 847,000.–",5.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2022
"CHF 847,000.–",5.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2022
"CHF 745,000.–",4 rooms,1040 Villars-le-Terroir,vaud,Apartment,eg,2016-2022
"CHF 850,000.–",1 room,1009 Pully,vaud,Apartment,eg,2016-2022
"CHF 750,000.–",2.5 rooms,"Crissier, 1023 Crissier",vaud,Apartment,eg,2016-2022
"CHF 750,000.–",2.5 rooms,"A Crissier, 1023 Crissier",vaud,Apartment,eg,2016-2022
"CHF 1,095,000.–",3.5 rooms,"Chemin de Sainte-Croix 12F, 1807 Blonay",vaud,Apartment,eg,2016-2022
"CHF 730,000.–",3.5 rooms,1867 Ollon VD,vaud,Apartment,eg,2016-2022
"CHF 550,000.–",3.5 rooms,1530 Payerne,vaud,Apartment,eg,2016-2022
"CHF 720,000.–",5.5 rooms,1584 Villars le Grand,vaud,Apartment,eg,2016-2022
"CHF 1,270,000.–",4.5 rooms,1804 Corsier-sur-Vevey,vaud,Apartment,eg,2016-2022
"CHF 449,000.–",3.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2022
"CHF 319,000.–",1.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2022
"CHF 449,000.–",3.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2022
"CHF 319,000.–",1.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2022
"CHF 860,000.–",3.5 rooms,1278 La Rippe,vaud,Apartment,eg,2016-2022
"CHF 1,880,000.–",4.5 rooms,1163 Etoy,vaud,Apartment,eg,2016-2022
"CHF 745,000.–",4.5 rooms,1585 Salavaux,vaud,Apartment,eg,2016-2022
"CHF 1,200,000.–",4.5 rooms,1803 Chardonne,vaud,Apartment,eg,2016-2022
"CHF 930,000.–",6.5 rooms,1584 Villars le Grand,vaud,Apartment,eg,2016-2022
"CHF 1,339,000.–",4.5 rooms,1806 St-Légier-La Chiésaz,vaud,Apartment,eg,2016-2022
"CHF 1,230,000.–",4 rooms,1071 Rivaz,vaud,Apartment,eg,2016-2022
"CHF 3,200,000.–",4.5 rooms,1070 Puidoux,vaud,Apartment,eg,2016-2022
"CHF 750,000.–",2.5 rooms,1110 Morges,vaud,Apartment,eg,2016-2022
"CHF 1,095,000.–",3.5 rooms,1800 Vevey,vaud,Apartment,eg,2016-2022
"CHF 860,000.–",4.5 rooms,1522 Lucens,vaud,Apartment,eg,2016-2022
"CHF 595,000.–",3.5 rooms,1437 Suscévaz,vaud,Apartment,eg,2016-2022
"CHF 1,370,000.–",4.5 rooms,1166 Perroy,vaud,Apartment,eg,2016-2022
"CHF 730,000.–",2.5 rooms,1022 Chavannes-près-Renens,vaud,Apartment,eg,2016-2022
"CHF 575,000.–",4.5 rooms,"Mont-la-Ville, 1148 Mont-la-Ville",vaud,Apartment,eg,2016-2022
"CHF 960,000.–",5.5 rooms,1860 Aigle,vaud,Apartment,eg,2016-2022
"CHF 545,000.–",3.5 rooms,1860 Aigle,vaud,Apartment,eg,2016-2022
"CHF 415,000.–",2.5 rooms,1860 Aigle,vaud,Apartment,eg,2016-2022
"CHF 890,000.–",4.5 rooms,1441 Valeyres-sous-Montagny,vaud,Apartment,eg,2016-2022
"CHF 700,000.–",4.5 rooms,"Route du Vieux Séquoia 4, 1847 Rennaz",vaud,Apartment,eg,2016-2022
"CHF 880,000.–",3.5 rooms,1032 Romanel-sur-Lausanne,vaud,Apartment,eg,2016-2022
"CHF 570,000.–",3.5 rooms,1530 Payerne,vaud,Apartment,eg,2016-2022
"CHF 1,045,000.–",3.5 rooms,1800 Vevey,vaud,Apartment,eg,2016-2022
"CHF 1,190,000.–",3.5 rooms,"Pully, 1009 Pully",vaud,Apartment,eg,2016-2022
"CHF 1,290,000.–",3.5 rooms,1094 Paudex,vaud,Apartment,eg,2016-2022
"CHF 545,000.–",3.5 rooms,1852 Roche VD,vaud,Apartment,eg,2016-2022
"CHF 545,000.–",3.5 rooms,1852 Roche VD,vaud,Apartment,eg,2016-2022
"CHF 720,000.–",2.5 rooms,1400 Yverdon-les-Bains,vaud,Apartment,eg,2016-2022
"CHF 1,260,000.–",3.5 rooms,"Chemin Isabelle de Montolieu 25, 1010 Lausanne",vaud,Apartment,eg,2016-2022
"CHF 1,993,500.–",4 rooms,"Avenue Collonges, 1004 Lausanne",vaud,Apartment,noteg,0-1919
"CHF 1,873,890.–",3.5 rooms,"Grand'Rue 44, 1176 St-Livres",vaud,Apartment,noteg,0-1919
"CHF 2,518,450.–",4.5 rooms,"Avenue Louis-Vulliemin 10, 1005 Lausanne",vaud,Apartment,noteg,0-1919
"CHF 2,591,550.–",5.5 rooms,"Vevey, 1800 Vevey",vaud,Apartment,noteg,0-1919
"CHF 1,395,450.–",4.5 rooms,"Chailly-Montreux, 1816 Chailly-Montreux",vaud,Apartment,noteg,0-1919
"CHF 490,400.–",2 rooms,"Les Rasses, 1452 Les Rasses",vaud,Apartment,noteg,0-1919
"CHF 1,927,050.–",5.5 rooms,"Yverdon-les-Bains, 1400 Yverdon-les-Bains",vaud,Apartment,noteg,0-1919
"CHF 923,650.–",4.5 rooms,"Renens VD, 1020 Renens VD",vaud,Apartment,noteg,0-1919
"CHF 2,525,100.–",4.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 2,099,820.–",5.5 rooms,1800 Vevey,vaud,Apartment,noteg,0-1919
"CHF 1,847,310.–",4.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 770,820.–",3.5 rooms,1417 Essertines-sur-Yverdon,vaud,Apartment,noteg,0-1919
"CHF 1,156,230.–",3.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 1,794,150.–",3.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 1,794,150.–",2 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 1,847,310.–",4.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 1,315,710.–",3.5 rooms,1188 Gimel,vaud,Apartment,noteg,0-1919
"CHF 3,256,050.–",5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 2,206,140.–",4.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 2,252,650.–",5.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 480,000.–",4.5 rooms,"Chalet les Bluets, 1863 Le Sépey",vaud,Apartment,noteg,0-1919
