"CubeId";"plimoincha"
"PublishingDate";"2024-03-21 09:00"

"Date";"D0";"D1";"Value"
"1988";"BF";"AP";"108.20556852"
"1988";"GF";"AP";"99.29921805"
"1988";"VF";"AP";"133.70832534"
"1989";"EW";"TP3";
"1989";"EW";"TP1";"109.67768455"
"1989";"EW";"TP2";"107.70813936"
"1989";"EW";"AP";"117.15313964"
"1989";"EW";"TP";"106.82876225"
"1989";"EH";"TP3";
"1989";"EH";"TP1";"98.62385419"
"1989";"EH";"TP2";"97.39785818"
"1989";"EH";"AP";"128.82407807"
"1989";"EH";"TP";"92.33458768"
"1989";"MH";"TP1";
"1989";"MH";"TP2";
"1989";"MH";"TP";
"1989";"MW";"AP";"116.30808854"
"1989";"BF";"AP";"117.45447262"
"1989";"GF";"AP";"104.78555642"
"1989";"VF";"AP";"141.60134666"
"1990";"EW";"TP3";
"1990";"EW";"TP1";"113.32465649"
"1990";"EW";"TP2";"109.04101534"
"1990";"EW";"AP";"122.83717158"
"1990";"EW";"TP";"112.16147924"
"1990";"EH";"TP3";
"1990";"EH";"TP1";"103.91576104"
"1990";"EH";"TP2";"101.51930737"
"1990";"EH";"AP";"128.46662032"
"1990";"EH";"TP";"100.49754"
"1990";"MH";"TP1";
"1990";"MH";"TP2";
"1990";"MH";"TP";
"1990";"MW";"AP";"137.73712861"
"1990";"BF";"AP";"134.68370116"
"1990";"GF";"AP";"117.04677847"
"1990";"VF";"AP";"163.07488586"
"1991";"EW";"TP3";
"1991";"EW";"TP1";"113.67032259"
"1991";"EW";"TP2";"109.5702455"
"1991";"EW";"AP";"121.8454291"
"1991";"EW";"TP";"115.8832456"
"1991";"EH";"TP3";
"1991";"EH";"TP1";"107.26604513"
"1991";"EH";"TP2";"103.09347199"
"1991";"EH";"AP";"126.34543658"
"1991";"EH";"TP";"101.60060282"
"1991";"MH";"TP1";
"1991";"MH";"TP2";
"1991";"MH";"TP";
"1991";"MW";"AP";"155.3151217"
"1991";"BF";"AP";"136.11267789"
"1991";"GF";"AP";"127.25482508"
"1991";"VF";"AP";"142.79582821"
"1992";"EW";"TP3";
"1992";"EW";"TP1";"117.06234339"
"1992";"EW";"TP2";"109.37423433"
"1992";"EW";"AP";"116.64363969"
"1992";"EW";"TP";"114.29574886"
"1992";"EH";"TP3";
"1992";"EH";"TP1";"105.44870165"
"1992";"EH";"TP2";"102.12035204"
"1992";"EH";"AP";"120.78477163"
"1992";"EH";"TP";"101.24727959"
"1992";"MH";"TP1";
"1992";"MH";"TP2";
"1992";"MH";"TP";
"1992";"MW";"AP";"157.06972105"
"1992";"BF";"AP";"123.566311"
"1992";"GF";"AP";"121.06812457"
"1992";"VF";"AP";"141.85566306"
"1993";"EW";"TP3";
"1993";"EW";"TP1";"113.64390844"
"1993";"EW";"TP2";"110.05047288"
"1993";"EW";"AP";"111.88976971"
"1993";"EW";"TP";"114.20062122"
"1993";"EH";"TP3";
"1993";"EH";"TP1";"103.64359452"
"1993";"EH";"TP2";"101.33803993"
"1993";"EH";"AP";"114.53812637"
"1993";"EH";"TP";"99.41111239"
"1993";"MH";"TP1";
"1993";"MH";"TP2";
"1993";"MH";"TP";
"1993";"MW";"AP";"142.98756791"
"1993";"BF";"AP";"114.96135023"
"1993";"GF";"AP";"115.32444389"
"1993";"VF";"AP";"122.41734172"
"1994";"EW";"TP3";
"1994";"EW";"TP1";"114.17049811"
"1994";"EW";"TP2";"108.70779634"
"1994";"EW";"AP";"111.52506562"
"1994";"EW";"TP";"112.38011044"
"1994";"EH";"TP3";
"1994";"EH";"TP1";"101.09218017"
"1994";"EH";"TP2";"102.14897322"
"1994";"EH";"AP";"114.44994832"
"1994";"EH";"TP";"100.08234089"
"1994";"MH";"TP1";
"1994";"MH";"TP2";
"1994";"MH";"TP";
"1994";"MW";"AP";"130.41559776"
"1994";"BF";"AP";"107.47909021"
"1994";"GF";"AP";"113.66985659"
"1994";"VF";"AP";"113.64255517"
"1995";"EW";"TP3";
"1995";"EW";"TP1";"111.94510653"
"1995";"EW";"TP2";"106.71828294"
"1995";"EW";"AP";"108.31094936"
"1995";"EW";"TP";"110.03454393"
"1995";"EH";"TP3";
"1995";"EH";"TP1";"101.19038331"
"1995";"EH";"TP2";"101.62425168"
"1995";"EH";"AP";"109.99214711"
"1995";"EH";"TP";"100.65318193"
"1995";"MH";"TP1";
"1995";"MH";"TP2";
"1995";"MH";"TP";
"1995";"MW";"AP";"122.918773"
"1995";"BF";"AP";"103.7570537"
"1995";"GF";"AP";"116.27119164"
"1995";"VF";"AP";"115.81345629"
"1996";"EW";"TP3";
"1996";"EW";"TP1";"109.3699325"
"1996";"EW";"TP2";"105.88278532"
"1996";"EW";"AP";"104.50111466"
"1996";"EW";"TP";"107.16504525"
"1996";"EH";"TP3";
"1996";"EH";"TP1";"97.76399908"
"1996";"EH";"TP2";"98.43537577"
"1996";"EH";"AP";"103.69988192"
"1996";"EH";"TP";"98.26561606"
"1996";"MH";"TP1";
"1996";"MH";"TP2";"81.26648083"
"1996";"MH";"TP";
"1996";"MW";"AP";"112.67227189"
"1996";"BF";"AP";"101.64099505"
"1996";"GF";"AP";"101.72086481"
"1996";"VF";"AP";"109.88456656"
"1997";"EW";"TP3";
"1997";"EW";"TP1";"107.49291959"
"1997";"EW";"TP2";"101.85230558"
"1997";"EW";"AP";"99.7554425"
"1997";"EW";"TP";"102.95965186"
"1997";"EH";"TP3";
"1997";"EH";"TP1";"95.50281889"
"1997";"EH";"TP2";"95.95248885"
"1997";"EH";"AP";"100.09309134"
"1997";"EH";"TP";"97.86224786"
"1997";"MH";"TP1";
"1997";"MH";"TP2";"77.05680705"
"1997";"MH";"TP";
"1997";"MW";"AP";"106.38426079"
"1997";"BF";"AP";"98.74199367"
"1997";"GF";"AP";"98.40865904"
"1997";"VF";"AP";"103.28566743"
"1998";"EW";"TP3";
"1998";"EW";"TP1";"102.82266828"
"1998";"EW";"TP2";"101.38677905"
"1998";"EW";"AP";"98.40839341"
"1998";"EW";"TP";"102.24551976"
"1998";"EH";"TP3";
"1998";"EH";"TP1";"94.06578944"
"1998";"EH";"TP2";"96.88744723"
"1998";"EH";"AP";"99.22895888"
"1998";"EH";"TP";"97.30262148"
"1998";"MH";"TP1";
"1998";"MH";"TP2";"75.76847736"
"1998";"MH";"TP";
"1998";"MW";"AP";"102.03955866"
"1998";"BF";"AP";"96.65350094"
"1998";"GF";"AP";"97.25347126"
"1998";"VF";"AP";"96.70942259"
"1999";"EW";"TP3";
"1999";"EW";"TP1";"98.9823003"
"1999";"EW";"TP2";"98.5421669"
"1999";"EW";"AP";"98.53346225"
"1999";"EW";"TP";"101.61607157"
"1999";"EH";"TP3";
"1999";"EH";"TP1";"95.98398564"
"1999";"EH";"TP2";"96.17430296"
"1999";"EH";"AP";"99.08164045"
"1999";"EH";"TP";"99.34107693"
"1999";"MH";"TP1";
"1999";"MH";"TP2";"77.66330144"
"1999";"MH";"TP";
"1999";"MW";"AP";"99.73256511"
"1999";"BF";"AP";"96.96563276"
"1999";"GF";"AP";"99.00509356"
"1999";"VF";"AP";"94.01391934"
"2000";"EW";"TP3";
"2000";"EW";"TP1";"100"
"2000";"EW";"TP2";"100"
"2000";"EW";"AP";"100"
"2000";"EW";"TP";"100"
"2000";"EH";"TP3";
"2000";"EH";"TP1";"100"
"2000";"EH";"TP2";"100"
"2000";"EH";"AP";"100"
"2000";"EH";"TP";"100"
"2000";"MH";"TP1";"66.52057554"
"2000";"MH";"TP2";"85.95080238"
"2000";"MH";"TP";
"2000";"MW";"AP";"100"
"2000";"BF";"AP";"100"
"2000";"GF";"AP";"100"
"2000";"VF";"AP";"100"
"2001";"EW";"TP3";
"2001";"EW";"TP1";"101.75955786"
"2001";"EW";"TP2";"102.23452737"
"2001";"EW";"AP";"104.29728972"
"2001";"EW";"TP";"100.51683311"
"2001";"EH";"TP3";
"2001";"EH";"TP1";"101.98706528"
"2001";"EH";"TP2";"104.7868915"
"2001";"EH";"AP";"101.92728465"
"2001";"EH";"TP";"100.89551815"
"2001";"MH";"TP1";"71.67546594"
"2001";"MH";"TP2";"81.87862578"
"2001";"MH";"TP";
"2001";"MW";"AP";"101.8356836"
"2001";"BF";"AP";"104.80127851"
"2001";"GF";"AP";"98.10294653"
"2001";"VF";"AP";"99.33741061"
"2002";"EW";"TP3";
"2002";"EW";"TP1";"103.7374949"
"2002";"EW";"TP2";"102.72945558"
"2002";"EW";"AP";"112.40078678"
"2002";"EW";"TP";"101.69391617"
"2002";"EH";"TP3";
"2002";"EH";"TP1";"101.52341877"
"2002";"EH";"TP2";"102.11558184"
"2002";"EH";"AP";"106.64691797"
"2002";"EH";"TP";"100.75783126"
"2002";"MH";"TP1";"72.42881464"
"2002";"MH";"TP2";"79.12303172"
"2002";"MH";"TP";
"2002";"MW";"AP";"105.40160018"
"2002";"BF";"AP";"106.64583984"
"2002";"GF";"AP";"99.70686953"
"2002";"VF";"AP";"103.66350188"
"2003";"EW";"TP3";
"2003";"EW";"TP1";"107.85637608"
"2003";"EW";"TP2";"104.42495222"
"2003";"EW";"AP";"119.48379635"
"2003";"EW";"TP";"104.23764976"
"2003";"EH";"TP3";
"2003";"EH";"TP1";"103.86800838"
"2003";"EH";"TP2";"103.21272688"
"2003";"EH";"AP";"109.82739515"
"2003";"EH";"TP";"102.19711863"
"2003";"MH";"TP1";"74.5462189"
"2003";"MH";"TP2";"79.79733293"
"2003";"MH";"TP";
"2003";"MW";"AP";"108.82208243"
"2003";"BF";"AP";"106.09197734"
"2003";"GF";"AP";"103.53945698"
"2003";"VF";"AP";"104.95341431"
"2004";"EW";"TP3";
"2004";"EW";"TP1";"112.75151952"
"2004";"EW";"TP2";"105.90728672"
"2004";"EW";"AP";"122.51564527"
"2004";"EW";"TP";"110.16303889"
"2004";"EH";"TP3";
"2004";"EH";"TP1";"103.7299094"
"2004";"EH";"TP2";"104.75588523"
"2004";"EH";"AP";"112.42439346"
"2004";"EH";"TP";"105.94081499"
"2004";"MH";"TP1";"79.10512273"
"2004";"MH";"TP2";"81.89181044"
"2004";"MH";"TP";
"2004";"MW";"AP";"112.55913062"
"2004";"BF";"AP";"106.49412788"
"2004";"GF";"AP";"103.26578429"
"2004";"VF";"AP";"107.7542686"
"2005";"EW";"TP3";
"2005";"EW";"TP1";"117.66743459"
"2005";"EW";"TP2";"106.57127456"
"2005";"EW";"AP";"125.22696492"
"2005";"EW";"TP";"115.7174722"
"2005";"EH";"TP3";
"2005";"EH";"TP1";"108.28516997"
"2005";"EH";"TP2";"105.48572519"
"2005";"EH";"AP";"113.63374738"
"2005";"EH";"TP";"109.8617688"
"2005";"MH";"TP1";"89.01707225"
"2005";"MH";"TP2";"85.67015746"
"2005";"MH";"TP";"82.78724727"
"2005";"MW";"AP";"116.84349312"
"2005";"BF";"AP";"106.88310247"
"2005";"GF";"AP";"103.80975893"
"2005";"VF";"AP";"104.88059386"
"2006";"EW";"TP3";
"2006";"EW";"TP1";"124.73906242"
"2006";"EW";"TP2";"111.75822022"
"2006";"EW";"AP";"126.99066945"
"2006";"EW";"TP";"123.73331001"
"2006";"EH";"TP3";
"2006";"EH";"TP1";"113.47609115"
"2006";"EH";"TP2";"109.9220073"
"2006";"EH";"AP";"116.45865743"
"2006";"EH";"TP";"116.62664212"
"2006";"MH";"TP1";"91.60913567"
"2006";"MH";"TP2";"89.42590221"
"2006";"MH";"TP";"86.97081725"
"2006";"MW";"AP";"120.65254049"
"2006";"BF";"AP";"107.7081171"
"2006";"GF";"AP";"104.80639544"
"2006";"VF";"AP";"107.20029936"
"2007";"EW";"TP3";
"2007";"EW";"TP1";"132.97190934"
"2007";"EW";"TP2";"120.96094477"
"2007";"EW";"AP";"130.15611776"
"2007";"EW";"TP";"133.50750391"
"2007";"EH";"TP3";
"2007";"EH";"TP1";"120.51868394"
"2007";"EH";"TP2";"117.3277363"
"2007";"EH";"AP";"118.85988892"
"2007";"EH";"TP";"123.49094963"
"2007";"MH";"TP1";"93.31223652"
"2007";"MH";"TP2";"91.51661267"
"2007";"MH";"TP";"94.51814652"
"2007";"MW";"AP";"123.73518947"
"2007";"BF";"AP";"107.14810291"
"2007";"GF";"AP";"108.29187174"
"2007";"VF";"AP";"106.80577097"
"2008";"EW";"TP3";
"2008";"EW";"TP1";"140.03434433"
"2008";"EW";"TP2";"129.9456069"
"2008";"EW";"AP";"135.5107307"
"2008";"EW";"TP";"139.71253098"
"2008";"EH";"TP3";
"2008";"EH";"TP1";"125.41308524"
"2008";"EH";"TP2";"128.40890119"
"2008";"EH";"AP";"122.05189619"
"2008";"EH";"TP";"128.11193525"
"2008";"MH";"TP1";"95.14270709"
"2008";"MH";"TP2";"91.1907632"
"2008";"MH";"TP";"91.4773223"
"2008";"MW";"AP";"128.93638687"
"2008";"BF";"AP";"107.98808397"
"2008";"GF";"AP";"108.73736901"
"2008";"VF";"AP";"107.41327067"
"2009";"EW";"TP3";
"2009";"EW";"TP1";"145.67397588"
"2009";"EW";"TP2";"131.57985005"
"2009";"EW";"AP";"144.21147831"
"2009";"EW";"TP";"144.4605285"
"2009";"EH";"TP3";
"2009";"EH";"TP1";"130.29809233"
"2009";"EH";"TP2";"127.54549574"
"2009";"EH";"AP";"128.2039769"
"2009";"EH";"TP";"128.74656856"
"2009";"MH";"TP1";"97.12833264"
"2009";"MH";"TP2";"97.50244858"
"2009";"MH";"TP";"96.52323388"
"2009";"MW";"AP";"133.51037939"
"2009";"BF";"AP";"112.26528379"
"2009";"GF";"AP";"100.33725611"
"2009";"VF";"AP";"111.04809232"
"2010";"EW";"TP3";
"2010";"EW";"TP1";"162.77182899"
"2010";"EW";"TP2";"132.18993483"
"2010";"EW";"AP";"151.71707213"
"2010";"EW";"TP";"152.82916469"
"2010";"EH";"TP3";
"2010";"EH";"TP1";"141.94079378"
"2010";"EH";"TP2";"127.9366518"
"2010";"EH";"AP";"134.17460342"
"2010";"EH";"TP";"132.2627234"
"2010";"MH";"TP1";"100"
"2010";"MH";"TP2";"100"
"2010";"MH";"TP";"100"
"2010";"MW";"AP";"135.83112487"
"2010";"BF";"AP";"112.42685334"
"2010";"GF";"AP";"104.13962616"
"2010";"VF";"AP";"113.71324864"
"2011";"EW";"TP3";
"2011";"EW";"TP1";"170.04505002"
"2011";"EW";"TP2";"138.46939776"
"2011";"EW";"AP";"159.03063978"
"2011";"EW";"TP";"166.04532738"
"2011";"EH";"TP3";
"2011";"EH";"TP1";"148.3884229"
"2011";"EH";"TP2";"134.05919813"
"2011";"EH";"AP";"139.67831624"
"2011";"EH";"TP";"140.69243926"
"2011";"MH";"TP1";"102.4004853"
"2011";"MH";"TP2";"106.28098395"
"2011";"MH";"TP";"105.51811381"
"2011";"MW";"AP";"139.68105526"
"2011";"BF";"AP";"110.79922351"
"2011";"GF";"AP";"103.74209265"
"2011";"VF";"AP";"114.67909759"
"2012";"EW";"TP3";
"2012";"EW";"TP1";"180.3215777"
"2012";"EW";"TP2";"154.90272946"
"2012";"EW";"AP";"167.19507831"
"2012";"EW";"TP";"177.17173885"
"2012";"EH";"TP3";
"2012";"EH";"TP1";"153.4871135"
"2012";"EH";"TP2";"150.48059723"
"2012";"EH";"AP";"144.90535193"
"2012";"EH";"TP";"147.4921546"
"2012";"MH";"TP1";"114.42224364"
"2012";"MH";"TP2";"113.87402999"
"2012";"MH";"TP";"110.04111322"
"2012";"MW";"AP";"143.98271113"
"2012";"BF";"AP";"116.28200616"
"2012";"GF";"AP";"105.37239383"
"2012";"VF";"AP";"121.86439733"
"2013";"EW";"TP3";
"2013";"EW";"TP1";"199.08608631"
"2013";"EW";"TP2";"165.60493948"
"2013";"EW";"AP";"172.78242509"
"2013";"EW";"TP";"186.0871796"
"2013";"EH";"TP3";
"2013";"EH";"TP1";"164.92055975"
"2013";"EH";"TP2";"155.63717891"
"2013";"EH";"AP";"151.64762517"
"2013";"EH";"TP";"151.89212066"
"2013";"MH";"TP1";"121.77362652"
"2013";"MH";"TP2";"119.44925789"
"2013";"MH";"TP";"114.27702894"
"2013";"MW";"AP";"148.14929056"
"2013";"BF";"AP";"122.51275285"
"2013";"GF";"AP";"107.52959501"
"2013";"VF";"AP";"123.62355801"
"2014";"EW";"TP3";
"2014";"EW";"TP1";"206.51691948"
"2014";"EW";"TP2";"170.51011908"
"2014";"EW";"AP";"176.65709531"
"2014";"EW";"TP";"190.96971907"
"2014";"EH";"TP3";
"2014";"EH";"TP1";"168.89667042"
"2014";"EH";"TP2";"159.49626732"
"2014";"EH";"AP";"153.60614435"
"2014";"EH";"TP";"156.02747022"
"2014";"MH";"TP1";"124.45887262"
"2014";"MH";"TP2";"125.14503127"
"2014";"MH";"TP";"122.00007088"
"2014";"MW";"AP";"151.39978315"
"2014";"BF";"AP";"122.76661961"
"2014";"GF";"AP";"107.44536654"
"2014";"VF";"AP";"119.59058144"
"2015";"EW";"TP3";
"2015";"EW";"TP1";"208.54236145"
"2015";"EW";"TP2";"172.84020189"
"2015";"EW";"AP";"179.37668932"
"2015";"EW";"TP";"194.23377751"
"2015";"EH";"TP3";
"2015";"EH";"TP1";"172.4943298"
