price,number_of_rooms,square_meters,address,canton,property_type,floor,year_category
"CHF 1,345,000.–",3.5 rooms,127m²,1822 Chernex,vaud,Apartment,eg,2001-2005
"CHF 1,345,000.–",4.5 rooms,127m²,1822 Chernex,vaud,Apartment,eg,2001-2005
"CHF 1,600,000.–",4.5 rooms,142m²,1260 Nyon,vaud,Apartment,eg,2001-2005
"CHF 1,300,000.–",5 rooms,153m²,"Yens, 1169 Yens",vaud,Apartment,eg,2006-2010
"CHF 1,850,000.–",4.5 rooms,128m²,1009 Pully,vaud,Apartment,eg,2006-2010
"CHF 1,350,000.–",5.5 rooms,163m²,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 1,145,000.–",3.5 rooms,110m²,1805 Jongny,vaud,Apartment,eg,2006-2010
"CHF 1,450,000.–",5.5 rooms,201m²,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 2,180,000.–",6 rooms,190m²,1884 Villars-sur-Ollon,vaud,Apartment,eg,2006-2010
"CHF 960,000.–",3.5 rooms,135m²,1083 Mézières VD,vaud,Apartment,eg,2006-2010
"CHF 995,000.–",4.5 rooms,130m²,1070 Puidoux,vaud,Apartment,eg,2006-2010
"CHF 1,065,000.–",4.5 rooms,104m²,1000 Lausanne,vaud,Apartment,eg,2006-2010
"CHF 1,340,000.–",5.5 rooms,115m²,"chemin de Bel-Orne 30B, 1008 Prilly",vaud,Apartment,eg,2006-2010
"CHF 730,000.–",4.5 rooms,109m²,1860 Aigle,vaud,Apartment,eg,2006-2010
"CHF 390,000.–",3.5 rooms,87m²,1892 Lavey Village,vaud,Apartment,eg,2006-2010
"CHF 2,990,000.–",4.5 rooms,200m²,1272 Genolier,vaud,Apartment,eg,2006-2010
"CHF 790,000.–",4.5 rooms,133m²,1148 Mont la Ville,vaud,Apartment,eg,2006-2010
"CHF 2,590,000.–",4.5 rooms,161m²,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 1,450,000.–",6.5 rooms,201m²,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 2,950,000.–",5 rooms,210m²,1095 Lutry,vaud,Apartment,eg,2006-2010
"CHF 2,950,000.–",5 rooms,210m²,1093 La Conversion,vaud,Apartment,eg,2006-2010
"CHF 690,000.–",3 rooms,66m²,1163 Etoy,vaud,Apartment,eg,2006-2010
"CHF 1,850,000.–",4.5 rooms,161m²,1180 Rolle,vaud,Apartment,eg,2006-2010
"CHF 1,850,000.–",4.5 rooms,161m²,1173 Féchy,vaud,Apartment,eg,2006-2010
"CHF 1,350,000.–",4.5 rooms,163m²,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 925,000.–",4 rooms,,1814 La Tour-de-Peilz,vaud,Apartment,eg,2006-2010
"CHF 925,000.–",4 rooms,,1814 La Tour-de-Peilz,vaud,Apartment,eg,2006-2010
"CHF 4,250,000.–",5.5 rooms,250m²,1820 Montreux,vaud,Apartment,eg,2011-2015
"CHF 1,095,000.–",3.5 rooms,131m²,"Rue du Village 31, 1055 Froideville",vaud,Apartment,eg,2011-2015
"CHF 640,000.–",3.5 rooms,106m²,"Roche VD, 1852 Roche VD",vaud,Apartment,eg,2011-2015
"CHF 1,510,000.–",5.5 rooms,146m²,1014 Lausanne,vaud,Apartment,eg,2011-2015
"CHF 1,510,000.–",5.5 rooms,146m²,1033 Cheseaux-sur-Lausanne,vaud,Apartment,eg,2011-2015
"CHF 838,000.–",4.5 rooms,107m²,"Rue de la Forge 6, 1410 St-Cierges",vaud,Apartment,eg,2011-2015
"CHF 1,300,000.–",4.5 rooms,102m²,"Epalinges, 1066 Epalinges",vaud,Apartment,eg,2011-2015
"CHF 515,000.–",3.5 rooms,83m²,"Rue Bibracte 16 B, 1580 Avenches",vaud,Apartment,eg,2011-2015
"CHF 2,145,000.–",6.5 rooms,226m²,1272 Genolier,vaud,Apartment,eg,2011-2015
"CHF 895,000.–",3.5 rooms,89m²,1800 Vevey,vaud,Apartment,eg,2011-2015
"CHF 1,360,000.–",4.5 rooms,133m²,1010 Lausanne,vaud,Apartment,eg,2011-2015
"CHF 695,000.–",3.5 rooms,107m²,1588 Cudrefin,vaud,Apartment,eg,2011-2015
"CHF 4,250,000.–",5.5 rooms,308m²,"Résidence Altavista, 1820 Montreux",vaud,Apartment,eg,2011-2015
"CHF 765,000.–",3.5 rooms,74m²,1053 Cugy VD,vaud,Apartment,eg,2011-2015
"CHF 716,000.–",2.5 rooms,69m²,1033 Cheseaux-sur-Lausanne,vaud,Apartment,eg,2011-2015
"CHF 1,040,000.–",5.5 rooms,115m²,1844 Villeneuve VD,vaud,Apartment,eg,2011-2015
"CHF 695,000.–",4.5 rooms,98m²,1522 Lucens,vaud,Apartment,eg,2011-2015
"CHF 640,000.–",3.5 rooms,91m²,"Ch. du Sansui 6, 1562 Corcelles-près-Payerne",vaud,Apartment,eg,2011-2015
"CHF 795,000.–",3.5 rooms,92m²,1124 Gollion,vaud,Apartment,eg,2011-2015
"CHF 4,765,000.–",9.5 rooms,297m²,"La Conversion, 1093 La Conversion",vaud,Apartment,eg,2011-2015
"CHF 4,765,000.–",9.5 rooms,297m²,"A La Conversion, 1093 La Conversion",vaud,Apartment,eg,2011-2015
"CHF 675,000.–",4.5 rooms,92m²,"Rue de la Boverie 21, 1530 Payerne",vaud,Apartment,eg,2011-2015
"CHF 1,895,000.–",5.5 rooms,145m²,1095 Lutry,vaud,Apartment,eg,2011-2015
"CHF 650,000.–",3.5 rooms,76m²,1424 Champagne,vaud,Apartment,eg,2011-2015
"CHF 1,380,000.–",4.5 rooms,131m²,"Lausanne, 1000 Lausanne",vaud,Apartment,eg,2011-2015
"CHF 1,050,000.–",3.5 rooms,101m²,1052 Le Mont-sur-Lausanne,vaud,Apartment,eg,2011-2015
"CHF 1,050,000.–",4.5 rooms,115m²,1304 Cossonay-Ville,vaud,Apartment,eg,2011-2015
"CHF 2,750,000.–",5.5 rooms,215m²,1814 La Tour-de-Peilz,vaud,Apartment,eg,2011-2015
