"price","number_of_rooms","address","canton","property_type","floor","year_category","Impôt cantonal_impots","Impôt communal_impots","Impôt paroissial Evang. / réform_impots","Impôt paroissial Kath. / cath.rom_impots"
5050200,8,"1261 Le Vaud","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
3388950,55,"1822 Chernex","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
3388950,45,"1822 Chernex","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
5249550,7,"1052 Le Mont-sur-Lausanne","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
3388950,45,"1822 Chernex","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
2604840,55,"1032 Romanel-sur-Lausanne","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
7841100,75,"1820 Montreux","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
3854100,55,"1273 Arzier-Le Muids","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
7296210,65,"1066 Epalinges","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
3322500,8,"1808 Les Monts-de-Corsier","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
5183100,65,"1820 Montreux","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
2113110,45,"1033 Cheseaux-sur-Lausanne","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
3973710,35,"1092 Belmont-sur-Lausanne","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
6500000,8,"1185 Mont-sur-Rolle","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
1350000,5,"Chemin des Hutins 0, 1295 Mies","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
1720000,55,"1059 Peney-le-Jorat","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
5900000,10,"1820 Montreux","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
5900000,10,"1816 Chailly-Montreux","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
2895000,75,"1273 Arzier-Le Muids","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
5700000,65,"1173 Féchy","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
1880000,55,"1092 Belmont-sur-Lausanne","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
2900000,75,"Chemin du Lynx 12, 1273 Arzier-Le Muids","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
2900000,8,"1273 Arzier","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
5900000,85,"1816 Chailly-Montreux","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
2900000,65,"1260 Nyon","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
1450000,45,"Chemin De La Raicettaz 8, 1188 Saint-George","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2990000,10,"1128 Reverolle","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2120000,75,"1302 Vufflens-la-Ville","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1295000,55,"1510 Moudon","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1290000,65,"Noville, 1845 Noville","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1680000,75,"1400 Cheseaux-Noréaz","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3650000,85,"1169 Yens","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2090000,65,"1269 Bassins","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3750000,8,"1271 Givrins","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1900000,65,"1400 Yverdon-les-Bains","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3200000,9,"1024 Ecublens VD","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
4490000,10,"1277 Borex","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3650000,75,"1422 Grandson","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2700000,65,"1807 Blonay","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1750000,95,"1400 Cheseaux-Noréaz","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
4650000,12,"1185 Mont-sur-Rolle","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3500000,12,"1143 Apples","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
10500000,10,"1066 Epalinges","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2990000,10,"1128 Reverolle","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2770000,75,"1820 Montreux","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3650000,95,"1422 Grandson","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
6e+06,95,"1660 Château-d'Oex","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2280000,55,"1816 Chailly-Montreux","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1360000,65,"1589 Chabrey","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1690000,55,"1272 Genolier","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1150000,55,"1607 Palézieux","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
4650000,12,"1185 Mont sur Rolle","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1360000,65,"1589 Chabrey","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3950000,75,"1272 Genolier","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3650000,85,"1110 Morges","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2250000,75,"1052 Le Mont-sur-Lausanne","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1890000,8,"1523 Granges-près-Marnand","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3200000,9,"1024 Ecublens VD","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2250000,6,"1090 La Croix (Lutry)","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1400000,7,"1315 La Sarraz","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
5e+06,8,"1297 Founex","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
650000,5,"1342 Le Brassus","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1360000,65,"Chemin des Cerisiers 5b, 1588 Cudrefin","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3290000,5,"1297 Founex","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3650000,95,"1422 Grandson","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
3681330,55,"1822 Chernex","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2358970,4,"1272 Genolier","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1714410,55,"1845 Noville","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2232720,45,"1054 Morrens VD","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1714410,55,"1845 Noville","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2246010,55,"1820 Montreux","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1721050,45,"1510 Moudon","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
2498520,55,"1278 La Rippe","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
5302710,6,"1272 Genolier","Vaud","Single house","","2006-2010","1.55",0.785,NA,NA
1230000,65,"Villars-Burquin, 1423 Villars-Burquin","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1490000,95,"Villars-Burquin, 1423 Villars-Burquin","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1450000,55,"Leysin, 1854 Leysin","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1230000,65,"Chemin de Bellevue 17, 1423 Villars-Burquin","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1490000,75,"Chemin de Bellevue 15, 1423 Villars-Burquin","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
3495000,85,"1807 Blonay","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
3350000,55,"Blonay, 1807 Blonay","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1835000,65,"1273 Arzier","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
4490000,9,"1272 Genolier","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
2290000,65,"1337 Vallorbe","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1085000,55,"1513 Hermenches","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1490000,75,"1423 Villars-Burquin","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1230000,65,"1423 Villars-Burquin","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
9500000,10,"1166 Perroy","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
2490000,9,"1188 St-George","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
6500000,10,"1297 Founex","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1990000,55,"1071 Savigny","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
2450000,65,"1279 Bogis-Bossey","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1490000,45,"1077 Servion","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1350000,45,"1854 Leysin","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
3e+06,85,"1807 Blonay","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1490000,55,"1348 Le Brassus","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1385000,6,"L'étraz 10, 1608 Oron-le-Châtel","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
8790000,7,"1166 Perroy","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1390000,75,"1078 Oron-la-Ville","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
4490000,9,"1272 Genolier","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
3315000,95,"1066 Épalinges","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
3500000,8,"1807 Blonay","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
5150000,8,"1268 Begnins","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1390000,75,"Quartier du Crêt-Martin 33, 1450 Ste-Croix","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1390000,55,"quartier du motty 30, 1445 Vuiteboeuf","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
6e+06,9,"1660 Château-d'Oex","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
2895000,75,"Centre, 1273 Arzier-Le Muids","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1790000,65,"1844 Villeneuve VD","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
6100000,9,"1025 St-Sulpice VD","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
2390000,75,"1273 Arzier","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1140000,35,"1148 La Praz","Vaud","Single house","","2011-2015","1.55",0.785,NA,NA
1859270,55,"Ogens, 1045 Ogens","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
8239800,6,"1134 Vufflens-le-Château","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
5581800,8,"1424 Champagne","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
2511810,55,"1260 Nyon","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
6578550,6,"1090 La Croix (Lutry)","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
5648250,5,"1170 Aubonne","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
9236550,55,"1807 Blonay","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
8771400,45,"1820 Montreux","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
2511810,55,"1261 Longirod","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
7429110,55,"1095 Lutry","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
1049910,45,"1510 Moudon","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
3973710,55,"1268 Burtigny","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
2392200,5,"1342 Le Pont","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
3973710,55,"1268 Begnins","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
1056550,45,"1683 Chesalles-sur-Moudon","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
1986850,45,"1845 Noville","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
1129650,35,"1522 Lucens","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
7429110,75,"1095 Lutry","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
1661250,35,"1350 Orbe","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
5648250,5,"1170 Aubonne","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
1780860,45,"1071 Chexbres","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
3840810,45,"1267 Coinsins","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
6578550,55,"1095 Lutry","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
3575010,5,"1094 Paudex","Vaud","Single house","","2016-2024","1.55",0.785,NA,NA
